pathway	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
PWY-6629	0.0	0.0	3.599782302132004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.397527426653605	14.39751877878406
PWY-6630	35754.66687958978	26254.175774859057	29608.089229652553	21432.79578610193	29060.868978317805	33051.41556520684	5465.732582284173	13306.427561244458	21391.393245348085	26002.33010985861	26024.14186609915	37349.816278605234	44440.34934222244	32747.025559324615	25552.420148210284	25258.74998233778	20230.345613791284	36486.677875606525	20500.284242308793	42051.27364926767	42054.39292446355
PWY-6641	935.8934800162017	628.355765418264	692.8975123307777	488.4539822206386	717.1592319066124	594.8772232900361	295.20227550687787	319.8665756253243	299.9632378870232	561.7075228346745	809.2524250230813	1860.1753178867266	918.2577721412439	745.7186570450093	481.14810201382704	588.2661417857385	434.9229884264765	878.8577676426941	916.200790249655	1653.7741264298543	1481.6075837659685
PWY-6654	93.9013429662974	119.83688123884197	9.998724297533405	37.98198909096356	33.98622795810362	0.0	0.0	250.48579434503168	155.6031101804335	232.55847836815641	393.7534945636288	341.66780796533885	285.26453264510457	149.71976515897234	151.6402715347966	185.4719260413524	205.20193176816673	293.0861871838299	143.57831794422688	379.2272496276753	413.9592407268767
PWY-6690	837.1442575090277	632.0707594146643	647.3689512062591	585.8402135816399	906.324189361192	1049.3719098275844	136.5379545458861	546.9055829297242	548.1734212107864	662.2499822178999	899.1575493025975	1317.4726134349194	1245.9219800748397	974.8135982430423	731.0131012966048	709.2916601891367	544.6804475293663	930.7473701139909	667.7612416978122	1297.7705870257846	1122.923205651329
PWY-6700	47344.33036987832	44132.28562956	39767.12332370871	39160.25194475475	45465.62629511789	44509.99032377735	7136.414390868074	20985.26450684079	26641.305741942426	35542.91292361744	32033.88976567696	42162.21409766722	63291.42919922251	44967.24955972882	35402.73256967857	35714.31189838183	28844.956335044477	50935.92903975543	28964.268965272237	60880.34262683028	60804.68365099898
PWY-6703	45538.4543512031	44454.55668237396	38238.36125708549	38146.15380191598	42498.60516054196	42041.69638308694	6187.166055552084	20288.29177181471	23817.488012654947	32841.05969160247	26639.504462031724	33475.2365455888	58433.0226595516	41776.37213722179	32604.32200079653	31816.476176291875	25775.267974385308	45094.15918061256	25119.740995660963	53155.419569627906	53388.4680118056
PWY-6708	24454.935797433478	20307.14682646176	20795.461312350024	18838.655865798708	21230.157840043386	23701.089902658194	3180.1611179971883	10173.534872203829	14051.189550347985	18065.44326456796	16935.898580174395	24326.701376647154	31740.833796114974	23255.056955039392	18535.56274196427	17485.32959872134	14240.921616469672	25093.545521060176	14123.56832029072	29673.163437311272	29833.48578389819
PWY-6713	0.0	0.0	0.747772439645563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9762837320784876	2.9714340239475336
PWY-6728	1849.5202106908966	1618.1834895680681	1934.205955324003	3264.8342886549217	2373.3762802923225	2543.0042435947685	573.4053389595584	845.990485734612	1678.6483368279924	1621.466760354438	2516.1425027205564	2844.366562067427	7672.165953087774	5499.443483817648	3894.685689994586	6715.597104907361	4915.189321375771	9522.21464928321	4055.201211435178	7131.159220446091	8077.356132724026
