OTUID	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae	606.0	543.0	310.0	131.0	420.0	448.0	44.0	221.0	200.0	312.0	294.0	420.0	1122.0	703.0	638.0	447.0	429.0	677.0	606.0	1424.0	1271.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae	75.0	75.0	49.0	30.0	86.0	71.0	33.0	32.0	44.0	25.0	157.0	117.0	102.0	96.0	63.0	54.0	40.0	72.0	63.0	105.0	104.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256	260.0	498.0	306.0	194.0	368.0	381.0	33.0	253.0	256.0	298.0	93.0	107.0	277.0	217.0	176.0	128.0	85.0	226.0	68.0	97.0	76.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae	1058.0	923.0	394.0	654.0	368.0	424.0	49.0	372.0	311.0	195.0	117.0	40.0	455.0	305.0	233.0	185.0	201.0	253.0	80.0	237.0	248.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae	350.0	720.0	385.0	415.0	517.0	460.0	163.0	199.0	309.0	255.0	225.0	182.0	412.0	362.0	215.0	219.0	224.0	385.0	81.0	219.0	155.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast	27.0	22.0	75.0	39.0	29.0	26.0	8.0	22.0	34.0	47.0	5.0	25.0	191.0	155.0	118.0	68.0	53.0	109.0	183.0	401.0	396.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae	266.0	242.0	484.0	600.0	72.0	366.0	110.0	113.0	358.0	240.0	14.0	81.0	228.0	144.0	84.0	267.0	213.0	439.0	22.0	32.0	12.0
d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group	439.0	573.0	416.0	1794.0	449.0	388.0	28.0	173.0	106.0	315.0	265.0	150.0	704.0	591.0	417.0	381.0	354.0	585.0	388.0	741.0	787.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	560.0	542.0	396.0	314.0	666.0	788.0	185.0	212.0	772.0	625.0	851.0	1044.0	375.0	319.0	245.0	205.0	135.0	223.0	176.0	342.0	321.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13	76.0	134.0	109.0	269.0	130.0	79.0	15.0	85.0	76.0	72.0	29.0	25.0	93.0	91.0	65.0	48.0	29.0	67.0	6.0	46.0	31.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	233.0	253.0	219.0	90.0	211.0	202.0	11.0	166.0	91.0	208.0	70.0	17.0	408.0	327.0	235.0	166.0	138.0	248.0	69.0	193.0	149.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae	1.0	1.0	1.0	1.0	73.0	1.0	1.0	1.0	1.0	25.0	103.0	98.0	1354.0	897.0	745.0	409.0	335.0	644.0	212.0	560.0	573.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__uncultured	245.0	326.0	300.0	165.0	475.0	354.0	24.0	202.0	183.0	342.0	186.0	160.0	379.0	244.0	158.0	263.0	278.0	337.0	179.0	356.0	291.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCD24;f__CCD24	204.0	322.0	219.0	254.0	315.0	239.0	48.0	101.0	120.0	130.0	190.0	244.0	382.0	308.0	224.0	91.0	105.0	152.0	115.0	255.0	220.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae	842.0	680.0	234.0	123.0	545.0	761.0	176.0	127.0	349.0	565.0	424.0	1000.0	1458.0	844.0	820.0	425.0	373.0	669.0	660.0	1291.0	1291.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae	447.0	587.0	206.0	266.0	420.0	245.0	15.0	216.0	149.0	169.0	170.0	198.0	352.0	293.0	164.0	146.0	143.0	189.0	177.0	334.0	366.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	627.0	754.0	529.0	209.0	820.0	565.0	84.0	337.0	456.0	401.0	1279.0	858.0	581.0	418.0	324.0	391.0	330.0	481.0	334.0	708.0	658.0
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25	398.0	342.0	224.0	133.0	194.0	241.0	1.0	130.0	143.0	129.0	34.0	71.0	130.0	89.0	48.0	82.0	64.0	99.0	28.0	37.0	35.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae	802.0	1322.0	651.0	642.0	1337.0	833.0	30.0	567.0	260.0	770.0	317.0	260.0	684.0	440.0	349.0	315.0	157.0	348.0	401.0	839.0	847.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae	566.0	546.0	274.0	442.0	542.0	534.0	71.0	202.0	214.0	322.0	236.0	528.0	1080.0	614.0	541.0	611.0	395.0	895.0	264.0	718.0	685.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20	255.0	202.0	220.0	135.0	236.0	196.0	15.0	92.0	129.0	182.0	98.0	120.0	333.0	252.0	168.0	185.0	155.0	263.0	141.0	361.0	328.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781	137.0	144.0	108.0	126.0	432.0	100.0	1.0	72.0	99.0	194.0	413.0	478.0	166.0	174.0	136.0	102.0	103.0	146.0	333.0	634.0	637.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae	226.0	281.0	104.0	54.0	246.0	233.0	50.0	199.0	199.0	217.0	264.0	248.0	196.0	210.0	164.0	130.0	86.0	156.0	65.0	147.0	164.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	127.0	108.0	59.0	45.0	57.0	226.0	70.0	69.0	85.0	145.0	188.0	272.0	427.0	305.0	276.0	349.0	223.0	414.0	157.0	443.0	432.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	133.0	132.0	112.0	275.0	188.0	304.0	1.0	89.0	91.0	117.0	171.0	194.0	146.0	75.0	102.0	45.0	56.0	77.0	57.0	113.0	104.0
d__Bacteria;p__Entotheonellaeota;c__Entotheonellia;o__Entotheonellales;f__Entotheonellaceae	273.0	320.0	192.0	97.0	218.0	173.0	12.0	142.0	152.0	160.0	123.0	92.0	135.0	109.0	83.0	141.0	76.0	205.0	66.0	102.0	143.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured	53.0	76.0	66.0	172.0	83.0	64.0	1.0	46.0	61.0	72.0	58.0	64.0	61.0	50.0	36.0	90.0	73.0	93.0	30.0	77.0	84.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae	39.0	26.0	39.0	8.0	22.0	87.0	1.0	25.0	39.0	51.0	36.0	52.0	135.0	119.0	80.0	46.0	42.0	62.0	66.0	85.0	93.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae	1.0	1.0	179.0	1.0	1.0	3.0	1.0	1.0	1.0	382.0	1.0	1.0	1.0	1.0	1.0	145.0	93.0	159.0	6.0	9.0	9.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__uncultured	68.0	130.0	52.0	118.0	210.0	63.0	25.0	115.0	68.0	49.0	186.0	100.0	84.0	100.0	98.0	59.0	32.0	84.0	74.0	189.0	169.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae	403.0	239.0	732.0	1379.0	626.0	592.0	94.0	148.0	281.0	304.0	317.0	515.0	905.0	719.0	515.0	502.0	314.0	593.0	266.0	647.0	565.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	116.0	222.0	198.0	1039.0	48.0	148.0	1.0	53.0	34.0	116.0	23.0	56.0	221.0	191.0	128.0	139.0	116.0	181.0	112.0	242.0	225.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured	128.0	363.0	179.0	165.0	413.0	264.0	20.0	128.0	150.0	207.0	452.0	331.0	191.0	102.0	83.0	185.0	185.0	365.0	138.0	321.0	320.0
d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae	523.0	193.0	618.0	293.0	275.0	607.0	37.0	173.0	626.0	647.0	390.0	428.0	578.0	466.0	298.0	733.0	578.0	1012.0	297.0	716.0	610.0
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119	96.0	188.0	72.0	131.0	203.0	68.0	12.0	55.0	78.0	112.0	207.0	138.0	94.0	43.0	42.0	77.0	56.0	81.0	160.0	275.0	248.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae	1.0	1.0	1.0	1.0	1.0	21.0	1.0	1.0	6.0	1.0	1.0	1.0	106.0	51.0	35.0	73.0	64.0	110.0	163.0	300.0	286.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae	349.0	133.0	302.0	158.0	340.0	305.0	188.0	85.0	161.0	283.0	642.0	724.0	421.0	277.0	279.0	309.0	262.0	435.0	246.0	500.0	528.0
