,0
51d457046aa4c3da5734135c4542f628,1393.0
348905d0616256b176a5d0bb715fbd1c,1357.0
9bbe4a1bb0c600e469eba2f6d4a2696e,1347.0
2b48d239dce940ba90c32cfaa89a7854,1345.0
b44d56740a3f7953d16d8e0f995a07f2,1324.0
08dad3f8ae18efad72c96a509827bc49,1320.0
123e49d902bfe073d31c5a059eda405a,1313.0
1f7ba2a130ac054c9ee6eeaff0a2fb0b,1310.0
ac91e8e87bae75e77fd6277f3b0ad239,1303.0
f1ed1740940dafc3c1800333d5198536,1302.0
e4d0aafc2fe4b4ee1176662419cfd731,1302.0
1d3b577214f1ea11f62d286b3a4f85be,1300.0
34c95a5cea8311e8b5b29e6b00ab3a0d,1297.0
5c5760d9455d89e9f7feb38be1f0dd75,1297.0
f5002b9496a74fd074a371a5e913298a,1290.0
c9b0cb4974b046f4cb8c214e32ec6e0c,1280.0
7c285ced6c55f7abc6b69ef2f7279a93,1278.0
d4a3e3c3db573fdcb78b1edf67b7c596,1274.0
0964e312694acf22dcb9a09c1777dcfe,1273.0
33240dbf4800350fa6ffa52a0efbc0ba,1263.0
40d7321a6920b1d1a264f33179d90073,1256.0
e3240930b70db086aac9c2c7ad7de511,1252.0
37b831563415aed5ee3e52283228892f,1250.0
593ae459c05e2cc32386e04ce643f731,1237.0
341ffcc80740c1395175ffafc8948ae3,1235.0
3afaaee2139d30e5506e5bb842c8a866,1217.0
b3febc073036aa00772b7e38016b9402,1202.0
a83dde4b328388f1be682e48a5b23131,1202.0
aca95c4a188c62c51dd3de320cf73758,1188.0
e8c7f8f7c087de0e839ba071a1d1f155,1186.0
f0e7cc4eea570368cbc705b9c0afda6a,1178.0
beb62a73a4dd3517be6f9facc0ac7299,1174.0
a360e27dfc7c1f1e42ee0ec723375251,1171.0
7fc0caa611730a77a4e776e2f761dce3,1169.0
135932f24c0250a7f3252affdbebab19,1162.0
fcaa5d6fe0a8ad8d7c8ce1ac4138d4d6,1143.0
802c1180e405f56f94f1fef3b68d6c04,1143.0
